probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
858,20160518,31712,95.128.15.132,2a04:4107:fffc:300:220:4aff:fec7:ae7c,system-v1,v4-v6-works
860,20160518,3320,87.150.51.19,2003:46:52d:d600:220:4aff:fec7:ae83,system-v1,v4-v6-works
865,20160518,31712,,,system-v1,v4-v6-works
867,20160518,25376,82.148.227.13,2a00:1b98:1:0:220:4aff:fec7:ae01,system-v1,v4-v6-works
876,20160518,50056,178.18.118.101,2a01:8000:1ffa:f030:220:4aff:fec7:af00,system-v1,v4-v6-works
881,20160518,43081,,,system-v1,v4-v6-works
882,20160518,12502,193.105.105.194,2001:14f8:200:3::6,system-v1,v4-v6-works
883,20160518,43127,77.74.168.62,2a01:b100:1f0:1900:220:4aff:fec7:ae34,system-v1,v4-v6-works
896,20160518,201701,185.66.194.15,2a03:2260:a:b:220:4aff:fec7:af7b,system-v1,v4-v6-works
898,20160518,34019,193.17.192.110,2001:67c:1740:200:220:4aff:fec7:af7c,system-v1,v4-v6-works
899,20160518,34878,129.13.70.22,2a00:1398:8:15:220:4aff:fec7:ae50,system-v1,v4-v6-works
904,20160518,12322,88.189.96.89,2a01:e35:8bd6:590:220:4aff:fec7:af7f,system-v1,v4-v6-works
916,20160518,6830,37.201.213.97,2a02:908:e673:e980:220:4aff:fec7:af8d,system-v1,v4-v6-works
918,20160518,12353,89.115.187.111,2001:818:dc79:200:220:4aff:fec7:af90,system-v1,v4-v6-works
919,20160518,680,141.89.226.52,2001:638:807:201:220:4aff:fec7:ae6e,system-v1,v4-v6-works
926,20160518,56740,31.130.200.9,2001:67c:2268:0:220:4aff:fec7:af97,system-v1,v4-v6-works
929,20160518,48954,37.48.240.27,2a00:7640:0:1:220:4aff:fec7:ae7b,system-v1,v4-v6-works
938,20160518,6830,80.110.115.45,2a02:8388:e302:b480:220:4aff:fec7:afaa,system-v1,v4-v6-works
939,20160518,31019,91.228.151.62,2001:67c:22dc:386:220:4aff:fec7:aef7,system-v1,v4-v6-works
951,20160518,20612,194.242.34.240,2001:67c:20ac:0:220:4aff:fec7:af53,system-v1,v4-v6-works
960,20160518,30737,82.199.8.22,2a00:1a50:beef:0:220:4aff:fec7:afcb,system-v1,v4-v6-works
962,20160518,8758,194.246.118.196,2001:8e0:40:2:220:4aff:fec7:afce,system-v1,v4-v6-works
964,20160518,34612,91.215.148.53,2a03:5380:0:1882:220:4aff:fec7:afcf,system-v1,v4-v6-works
965,20160518,34602,94.141.168.92,2a00:e79::220:4aff:fec7:af69,system-v1,v4-v6-works
975,20160518,3320,,,system-v1,v4-v6-works
979,20160518,35366,85.31.184.111,2a02:180:ffff:1::551f:b86f,system-v1,v4-v6-works
989,20160518,3265,80.127.225.254,2001:985:2dc4:1:220:4aff:fec7:af8c,system-v1,v4-v6-works
994,20160518,9182,,,system-v1,v4-v6-works
1002,20160518,4739,121.44.177.140,2001:44b8:3164:d100:220:4aff:fec7:b002,system-v1,v4-v6-works
1009,20160518,4739,,,system-v1,v4-v6-works
1022,20160518,38037,202.46.176.66,2001:dce::220:4aff:fec7:b01f,system-v1,v4-v6-works
1037,20160518,55430,,,system-v1,v4-v6-works
1042,20160518,7642,124.195.194.2,2406:e400:c:2:220:4aff:fec7:b036,system-v1,v4-v6-works
1044,20160518,4739,59.167.119.138,2001:44b8:417c:1a00:220:4aff:fec7:b038,system-v1,v4-v6-works
1047,20160518,9735,203.119.87.232,2001:dca:2000::cb77:57e8,system-v1,v4-v6-works
1050,20160518,132003,103.196.108.3,2404:2000:3010:80:220:4aff:fec7:b041,system-v1,v4-v6-works
1053,20160518,7922,,,system-v1,v4-v6-works
1069,20160518,45935,180.222.210.141,2400:3100:1:0:220:4aff:fec7:b008,system-v1,v4-v6-works
1083,20160518,45942,180.233.120.30,2402:cd00::220:4aff:fec7:b032,system-v1,v4-v6-works
1105,20160518,36375,141.213.135.222,2607:f018:699:fffa:220:4aff:fec7:b063,system-v1,v4-v6-works
1113,20160518,16881,199.212.124.184,2620:ee:8000:103:220:4aff:fec7:b06b,system-v1,v4-v6-works
1116,20160518,7922,,,system-v1,v4-v6-works
1117,20160518,6057,,,system-v1,v4-v6-works
1123,20160518,7922,73.178.68.31,2601:80:4000:fa4b:220:4aff:fec7:b077,system-v1,v4-v6-works
1133,20160518,7922,173.12.123.94,2601:584:c101:1700:220:4aff:fec7:b080,system-v1,v4-v6-works
1134,20160518,12271,72.226.65.212,2604:2000:1403:4118:220:4aff:fec7:b0df,system-v1,v4-v6-works
1142,20160518,7922,75.150.182.78,2603:301d:1b00:200:220:4aff:fec7:b0f4,system-v1,v4-v6-works
1151,20160518,4150,,,system-v1,v4-v6-works
1160,20160518,7922,73.251.80.221,2601:5cc:c702:2321:220:4aff:fec7:b106,system-v1,v4-v6-works
1164,20160518,26711,192.0.39.210,2620:0:2ed0:aaaa::210,system-v1,v4-v6-works
1171,20160518,33080,,,system-v1,v4-v6-works
1184,20160518,7922,68.45.52.117,2601:801:202:df81:220:4aff:fec7:bac1,system-v1,v4-v6-works
1194,20160518,7922,73.153.231.84,2601:283:4501:45c6:220:4aff:fec7:bad4,system-v1,v4-v6-works
1196,20160518,7018,,,system-v1,v4-v6-works
1203,20160518,12312,212.255.112.146,2001:4090:a000:8000:220:4aff:fec7:baa8,system-v1,v4-v6-works
1212,20160518,13030,212.51.153.195,2a02:168:4e03:0:220:4aff:fec7:baeb,system-v1,v4-v6-works
1218,20160518,34497,46.235.130.2,2a01:5480:2e2:1:220:4aff:fec7:baf5,system-v1,v4-v6-works
1219,20160518,28855,,,system-v1,v4-v6-works
1228,20160518,786,,,system-v1,v4-v6-works
1230,20160518,3245,,,system-v1,v4-v6-works
1238,20160518,34225,91.184.33.57,2a01:198:0:3::57,system-v1,v4-v6-works
1260,20160518,2108,,,system-v1,v4-v6-works
1269,20160518,3245,,,system-v1,v4-v6-works
1281,20160518,21079,,,system-v1,v4-v6-works
1283,20160518,34594,85.114.53.76,2a02:ac8:0:107:220:4aff:fec7:bf09,system-v1,v4-v6-works
1285,20160518,3243,85.247.80.164,2001:8a0:7200:1b01:220:4aff:fec7:bf0f,system-v1,v4-v6-works
1293,20160518,2108,,,system-v1,v4-v6-works
1304,20160518,6730,,,system-v1,v4-v6-works
1305,20160518,30880,212.63.222.105,2a01:298:10:0:220:4aff:fec7:bf4b,system-v1,v4-v6-works
1306,20160518,13045,212.59.36.58,2a02:560:2:1c0::2,system-v1,v4-v6-works
1310,20160518,48200,,,system-v1,v4-v6-works
1312,20160518,15943,84.46.26.5,2a02:2028:852:ac01:220:4aff:fec8:2530,system-v1,v4-v6-works
1315,20160518,25091,46.20.243.57,2a02:2528:ff01:3:220:4aff:fec7:bf78,system-v1,v4-v6-works
1322,20160518,12322,78.238.240.3,2a01:e34:eeef:30:220:4aff:fec8:29f4,system-v1,v4-v6-works
1323,20160518,5603,193.77.126.203,2a00:ee2:100:1200:220:4aff:fec8:2022,system-v1,v4-v6-works
1324,20160518,2614,,,system-v1,v4-v6-works
1326,20160518,8820,212.60.130.168,2a01:170:104f:0:220:4aff:fec8:29f7,system-v1,v4-v6-works
1327,20160518,35548,84.254.65.10,2a00:14a8:1003:2:220:4aff:fec8:2449,system-v1,v4-v6-works
1329,20160518,8542,85.200.216.186,2a00:14d8:1001:79:220:4aff:fec8:247f,system-v1,v4-v6-works
1334,20160518,3265,83.161.216.205,2001:980:3285:1:220:4aff:fec8:2a05,system-v1,v4-v6-works
1337,20160518,31122,,,system-v1,v4-v6-works
1338,20160518,6830,37.201.230.252,2a02:908:8a0:a45c:220:4aff:fec8:2a0b,system-v1,v4-v6-works
1342,20160518,48417,94.247.32.16,2a02:db8::7,system-v1,v4-v6-works
1355,20160518,41655,195.8.198.206,2a00:adc0:0:194:220:4aff:fec8:65f7,system-v1,v4-v6-works
1359,20160518,60294,185.22.142.22,2a00:6020:13ff:9b04:220:4aff:fecb:15f,system-v1,v4-v6-works
1360,20160518,48173,46.231.177.254,2a00:cd0:1:505::2,system-v1,v4-v6-works
1370,20160518,12337,213.95.203.50,2001:780:129:3:220:4aff:fecb:c12,system-v1,v4-v6-works
1372,20160518,8767,82.135.94.201,2001:a61:10bb:601:220:4aff:fecb:c13,system-v1,v4-v6-works
1388,20160518,25279,,,system-v1,v4-v6-works
1394,20160518,786,131.231.128.94,2001:630:301:4621:220:4aff:fecb:ceb,system-v1,v4-v6-works
1404,20160518,29691,,,system-v1,v4-v6-works
1408,20160518,16876,192.0.44.210,2620:0:2830:aaaa::210,system-v1,v4-v6-works
1415,20160518,31078,,,system-v1,v4-v6-works
1421,20160518,8943,185.73.44.7,2001:ba8:0:2c07:220:4aff:fecd:c6c9,system-v1,v4-v6-works
1422,20160518,7018,107.203.101.14,2602:306:bcb6:50e0:220:4aff:fecd:c6a2,system-v1,v4-v6-works
1423,20160518,3265,80.101.86.209,2001:980:3861:1:220:4aff:fecd:c6ce,system-v1,v4-v6-works
1425,20160518,20712,81.187.67.78,2001:8b0:ffea:0:220:4aff:fecd:c6d0,system-v1,v4-v6-works
1429,20160518,38930,,,system-v1,v4-v6-works
1431,20160518,201011,83.142.87.33,2a01:4a0:1337::33,system-v1,v4-v6-works
1434,20160518,25415,212.51.10.141,2a01:780:8000:705:220:4aff:fecd:c6cd,system-v1,v4-v6-works
1442,20160518,1273,195.59.8.106,2001:5000:1000:4::2,system-v1,v4-v6-works
