probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
1408,20160518,16876,192.0.44.210,2620:0:2830:aaaa::210,system-v1,v4-v6-works
1415,20160518,31078,,,system-v1,v4-v6-works
1421,20160518,8943,185.73.44.7,2001:ba8:0:2c07:220:4aff:fecd:c6c9,system-v1,v4-v6-works
1425,20160518,20712,81.187.67.78,2001:8b0:ffea:0:220:4aff:fecd:c6d0,system-v1,v4-v6-works
1431,20160518,201011,83.142.87.33,2a01:4a0:1337::33,system-v1,v4-v6-works
1442,20160518,1273,195.59.8.106,2001:5000:1000:4::2,system-v1,v4-v6-works
1443,20160518,559,130.59.94.236,2001:620:0:2d:220:4aff:fecd:c6e9,system-v1,v4-v6-works
1451,20160518,12312,62.26.26.42,2001:4090:ec2::ffff:42,system-v1,v4-v6-works
1458,20160518,20694,217.114.70.26,2a01:688:4:69:220:4aff:fecd:c710,system-v1,v4-v6-works
1464,20160518,42579,78.158.64.10,2a01:550:0:301::300,system-v1,v4-v6-works
1481,20160518,8972,80.242.159.142,2001:830:128:14::6,system-v1,v4-v6-works
1484,20160518,3330,193.186.161.193,2a02:5e0::220:4aff:fed1:35ea,system-v1,v4-v6-works
1494,20160518,1120,,,system-v1,v4-v6-works
1514,20160518,30933,193.151.125.197,2a01:50:400:1::2,system-v1,v4-v6-works
2002,20160518,8283,,,system-v2,v4-v6-works
2010,20160518,35100,31.44.238.89,2a01:7900:40:11:220:4aff:fee0:21d7,system-v2,v4-v6-works
2018,20160518,8676,217.65.160.110,2001:1420:0:42::1:2,system-v2,v4-v6-works
2030,20160518,20712,178.238.155.106,2001:8b0:34f:5b8:220:4aff:fee0:21fc,system-v2,v4-v6-works
2052,20160518,8365,141.100.55.129,2001:41b8:9bf:fd3f:220:4aff:fee0:22c0,system-v2,v4-v6-works
2059,20160518,29518,83.219.200.66,2a00:1598:a:15:220:4aff:fee0:208a,system-v2,v4-v6-works
2070,20160518,1741,193.167.244.162,2001:708:0:ff00:220:4aff:fee0:2520,system-v2,v4-v6-works
2073,20160518,20712,,,system-v2,v4-v6-works
2078,20160518,31078,217.115.11.194,2a00:1328:e101:b05:220:4aff:fee0:22f3,system-v2,v4-v6-works
2098,20160518,1836,81.221.125.31,2a01:2a8:9000:0:220:4aff:fee0:24cf,system-v2,v4-v6-works
2143,20160518,57381,193.150.23.2,2001:67c:24e4:3:220:4aff:fee0:21d1,system-v2,v4-v6-works
2172,20160518,196922,178.248.240.226,2a02:1308:2224:caf9::1:1,system-v2,v4-v6-works
2177,20160518,20712,217.169.16.162,2001:8b0:63:2:220:4aff:fee0:228a,system-v2,v4-v6-works
2178,20160518,33890,77.72.160.202,2a02:af0:10:f001::2,system-v2,v4-v6-works
2190,20160518,30961,,,system-v2,v4-v6-works
2209,20160518,48500,,,system-v2,v4-v6-works
2212,20160518,13030,91.238.144.60,2a02:168:5a04:103::60,system-v2,v4-v6-works
2213,20160518,43408,87.238.200.4,2a00:1cd0:1::4,system-v2,v4-v6-works
2221,20160518,39288,46.21.223.231,2a02:2928:a::20,system-v2,v4-v6-works
2226,20160518,2200,,,system-v2,v4-v6-works
2228,20160518,24725,109.70.104.34,2001:4130::220:4aff:fee0:2288,system-v2,v4-v6-works
2252,20160518,1836,146.228.61.37,2a01:2a8:0:fffe:220:4aff:fee0:2271,system-v2,v4-v6-works
2253,20160518,44574,91.199.78.250,2001:67c:2544::250,system-v2,v4-v6-works
2259,20160518,12833,,,system-v2,v4-v6-works
2261,20160518,197696,31.170.10.7,2a01:9500:ff00::7,system-v2,v4-v6-works
2262,20160518,34863,81.23.47.242,2a00:fc8:0:b::2,system-v2,v4-v6-works
2269,20160518,9009,176.10.80.14,2a01:300:666:3::2,system-v2,v4-v6-works
2270,20160518,51675,46.17.112.110,2a02:2680:feed:faff::20,system-v2,v4-v6-works
2281,20160518,34171,,,system-v2,v4-v6-works
2288,20160518,47698,,,system-v2,v4-v6-works
2296,20160518,1103,192.87.38.29,2001:610:148:f00d:220:4aff:fee0:2424,system-v2,v4-v6-works
2302,20160518,15657,80.81.248.249,2a02:8b8:654:1:220:4aff:fee0:233f,system-v2,v4-v6-works
2305,20160518,553,193.196.182.15,2001:7c0:1b00:4:220:4aff:fee0:2323,system-v2,v4-v6-works
2311,20160518,1133,,,system-v2,v4-v6-works
2331,20160518,29672,217.21.224.173,2a03:c780:0:101:220:4aff:fee0:20dc,system-v2,v4-v6-works
2336,20160518,1955,195.111.107.70,2001:738:0:114:220:4aff:fee0:2413,system-v2,v4-v6-works
2378,20160518,34442,77.246.22.107,2a00:1990:0:b0:220:4aff:fee0:2006,system-v2,v4-v6-works
2391,20160518,8304,,,system-v2,v4-v6-works
2395,20160518,15800,185.12.113.9,2a02:f080:1:2::9,system-v2,v4-v6-works
2418,20160518,20712,90.155.42.156,2001:8b0:1:ec:220:4aff:fee0:2310,system-v2,v4-v6-works
2437,20160518,20712,,,system-v2,v4-v6-works
2439,20160518,20712,81.187.177.126,2001:8b0:3de:1:220:4aff:fee0:2004,system-v2,v4-v6-works
2458,20160518,49272,188.121.94.9,2a00:1300:0:11:220:4aff:fee0:207f,system-v2,v4-v6-works
2494,20160518,44217,,,system-v2,v4-v6-works
2498,20160518,15716,95.128.32.187,2001:618:1:102:220:4aff:fee0:2527,system-v2,v4-v6-works
2545,20160518,250,194.150.169.30,2001:4ce8:f188:42:220:4aff:fee0:2015,system-v2,v4-v6-works
2552,20160518,25145,77.92.104.2,2a02:ac87:ac87::2,system-v2,v4-v6-works
2557,20160518,8319,,,system-v2,v4-v6-works
2576,20160518,31214,,,system-v2,v4-v6-works
2591,20160518,40528,192.0.35.210,2620:0:2d0:aaaa::210,system-v2,v4-v6-works
2598,20160518,20555,213.135.44.56,2001:1a68:a::56,system-v2,v4-v6-works
2605,20160518,43751,,,system-v2,v4-v6-works
2612,20160518,49409,95.141.83.102,2a02:f58:5:4:220:4aff:fee0:200c,system-v2,v4-v6-works
